"secao","nome_secao","divisao","nome_divisao","grupo","nome_grupo","notas_explicativas"
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","03","PESCA E AQÜICULTURA","03.1",". Pesca","Esta divisão compreende a pesca e a criação de animais aquáticos, abrangendo o uso dos recursos pesqueiros em águas marinhas, salobras e em água doce, objetivando a captura de peixes, crustáceos, moluscos e de outros organismos ou produtos aquáticos (plantas aquáticas, pérolas, esponjas, outros).Também compreende as atividades normalmente integradas ao processo de produção na aqüicultura (produção de sementes de ostras para produção de pérolas).Esta divisão não compreende a construção e reparação de navios e barcos (divisão 30), a atividade de pesca esportiva ou recreativa (divisão 85) e o processamento de peixes, crustáceos e moluscos realizado em estabelecimento industrial ou em barco-fábrica (divisão 10). "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","03","PESCA E AQÜICULTURA","03.2",". Aqüicultura","Esta divisão compreende a pesca e a criação de animais aquáticos, abrangendo o uso dos recursos pesqueiros em águas marinhas, salobras e em água doce, objetivando a captura de peixes, crustáceos, moluscos e de outros organismos ou produtos aquáticos (plantas aquáticas, pérolas, esponjas, outros).Também compreende as atividades normalmente integradas ao processo de produção na aqüicultura (produção de sementes de ostras para produção de pérolas).Esta divisão não compreende a construção e reparação de navios e barcos (divisão 30), a atividade de pesca esportiva ou recreativa (divisão 85) e o processamento de peixes, crustáceos e moluscos realizado em estabelecimento industrial ou em barco-fábrica (divisão 10). "
"B","INDÚSTRIAS EXTRATIVAS","05","EXTRAÇÃO DE CARVÃO MINERAL","05.0",". Extração de carvão mineral","Esta divisão compreende as atividades de extração de carvão mineral e os beneficiamentos de carvão mineral tais como limpeza, classificação, pulverização, etc., associados ou em continuação à extração.Esta divisão não compreende a atividade de escavação de minas quando não realizada pela empresa de exploração mineral (divisão 43). "
"B","INDÚSTRIAS EXTRATIVAS","06","EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL","06.0",". Extração de petróleo e gás natural","Esta divisão compreende a extração de petróleo e gás natural e a extração de xisto e de areias betuminosas.Esta divisão compreende também as atividades de preparação e operação dos campos de petróleo e de gás, tais como: perfuração dirigida e reperfuração, perfuração inicial, reparação e desmantelamento de torres de perfuração, cementação dos tubos dos poços e todas as atividades de preparação do petróleo e gás realizadas no local pelos operadores de poços até o momento da remessa para fora do campo de petróleo, realizadas no local, pelos operadores de poços.Esta divisão não compreende os serviços de apoio requeridos pela perfuração e operações de campo realizados sob contrato (divisão 09) e a atividade de escavação de minas quando não realizada pela empresa de exploração mineral (divisão 43). "
"B","INDÚSTRIAS EXTRATIVAS","07","EXTRAÇÃO DE MINERAIS METÁLICOS","07.1",". Extração de minério de ferro","Esta divisão compreende a extração, subterrânea e a céu aberto, de minerais metálicos e as atividades de beneficiamento associadas e em continuação à extração (moagem, trituração, classificação, concentração, pelotização, sinterização, etc.).Os minerais metálicos compreendidos nesta divisão são: ferrosos (ferro); não-ferrosos (alumínio, estanho, cobre, manganês, vanádio, etc.) e os preciosos (ouro, prata, platina).Esta divisão compreende também a extração de minerais radioativos (areia monazítica ou monazita, urânio e tório).Esta divisão não compreende as atividades de apoio à extração de minerais metálicos, realizadas sob contrato (divisão 09) e as atividades de escavação de minas quando não realizadas pela empresa de exploração mineral (divisão 43). "
"B","INDÚSTRIAS EXTRATIVAS","07","EXTRAÇÃO DE MINERAIS METÁLICOS","07.2",". Extração de minerais metálicos não-ferrosos","Esta divisão compreende a extração, subterrânea e a céu aberto, de minerais metálicos e as atividades de beneficiamento associadas e em continuação à extração (moagem, trituração, classificação, concentração, pelotização, sinterização, etc.).Os minerais metálicos compreendidos nesta divisão são: ferrosos (ferro); não-ferrosos (alumínio, estanho, cobre, manganês, vanádio, etc.) e os preciosos (ouro, prata, platina).Esta divisão compreende também a extração de minerais radioativos (areia monazítica ou monazita, urânio e tório).Esta divisão não compreende as atividades de apoio à extração de minerais metálicos, realizadas sob contrato (divisão 09) e as atividades de escavação de minas quando não realizadas pela empresa de exploração mineral (divisão 43). "
"B","INDÚSTRIAS EXTRATIVAS","08","EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS","08.1",". Extração de pedra, areia e argila","Esta divisão compreende as atividades de extração de minerais não-metálicos em pedreiras, em depósitos aluviais, rochas e terras sedimentares. Os produtos compreendidos nesta divisão são, normalmente, usados em construção (areias, pedras), para a fabricação de outros materiais (barro, gesso), e para a fabricação de produtos químicos (fosfatos e sulfatos naturais).Esta divisão compreende também as atividades de beneficiamento, associado ou em continuação à extração (corte, limpeza, secagem, etc.) e as atividades de refino do sal marinho.Esta divisão não compreende as atividades das unidades integradas verticalmente que processam minerais não-metálicos, como, por exemplo, as plantas de cimento e de materiais cerâmicos (divisão 23); as atividades de apoio à extração de minerais não-metálicos realizadas sob contrato (divisão 09); a atividade de escavação de minas quando não realizada pela empresa de exploração mineral (divisão 43). "
"B","INDÚSTRIAS EXTRATIVAS","08","EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS","08.9",". Extração de outros minerais não-metálicos","Esta divisão compreende as atividades de extração de minerais não-metálicos em pedreiras, em depósitos aluviais, rochas e terras sedimentares. Os produtos compreendidos nesta divisão são, normalmente, usados em construção (areias, pedras), para a fabricação de outros materiais (barro, gesso), e para a fabricação de produtos químicos (fosfatos e sulfatos naturais).Esta divisão compreende também as atividades de beneficiamento, associado ou em continuação à extração (corte, limpeza, secagem, etc.) e as atividades de refino do sal marinho.Esta divisão não compreende as atividades das unidades integradas verticalmente que processam minerais não-metálicos, como, por exemplo, as plantas de cimento e de materiais cerâmicos (divisão 23); as atividades de apoio à extração de minerais não-metálicos realizadas sob contrato (divisão 09); a atividade de escavação de minas quando não realizada pela empresa de exploração mineral (divisão 43). "
"B","INDÚSTRIAS EXTRATIVAS","09","ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS","09.1",". Atividades de apoio à extração de petróleo e gás natural","Esta divisão compreende as atividades especializadas de apoio à extração mineral executadas sob contrato. Inclui os serviços feitos por métodos de prospecção tradicionais (p.ex., a retirada de amostras), por observações geológicas, bem como por perfurações e reperfurações com objetivo de análise de campos de petróleo e de outras áreas de mineração.Esta divisão não compreende as atividades de escavação de minas quando não realizadas pela empresa de exploração mineral (divisão 43) e os estudos geológicos e de prospecção que se baseiam na realização de medições e observações de superfície para a obtenção de informações sobre a estrutura do subsolo, localização de campos de petróleo e gás natural, minerais e depósitos subterrâneos de água (divisão 71). "
"B","INDÚSTRIAS EXTRATIVAS","09","ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS","09.9",". Atividades de apoio à extração de minerais, exceto petróleo e gás natural","Esta divisão compreende as atividades especializadas de apoio à extração mineral executadas sob contrato. Inclui os serviços feitos por métodos de prospecção tradicionais (p.ex., a retirada de amostras), por observações geológicas, bem como por perfurações e reperfurações com objetivo de análise de campos de petróleo e de outras áreas de mineração.Esta divisão não compreende as atividades de escavação de minas quando não realizadas pela empresa de exploração mineral (divisão 43) e os estudos geológicos e de prospecção que se baseiam na realização de medições e observações de superfície para a obtenção de informações sobre a estrutura do subsolo, localização de campos de petróleo e gás natural, minerais e depósitos subterrâneos de água (divisão 71). "
"C","INDÚSTRIAS DE TRANSFORMAÇÃO","10","FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS","10.1",". Abate e fabricação de produtos de carne","Esta divisão compreende o processamento e transformação de produtos da agricultura, pecuária e pesca em alimentos para uso humano e animal. Esta divisão está organizada por atividades que processam e transformam diferentes tipos de produtos como carnes, pescados, leite, frutas e legumes, gorduras e óleos, grãos e produtos de moagem, etc.Esta divisão compreende também a fabricação de alimentos dietéticos, alimentos enriquecidos, complementos alimentares e semelhantes.Esta divisão não compreende os estabelecimentos que executam algum processamento no produto alimentício, visando exclusivamente a facilitar a comercialização, como, por exemplo, os açougues e peixarias (Seção G) e as padarias com venda direta ao público (divisão 47). "
"C","INDÚSTRIAS DE TRANSFORMAÇÃO","10","FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS","10.2",". Preservação do pescado e fabricação de produtos do pescado","Esta divisão compreende o processamento e transformação de produtos da agricultura, pecuária e pesca em alimentos para uso humano e animal. Esta divisão está organizada por atividades que processam e transformam diferentes tipos de produtos como carnes, pescados, leite, frutas e legumes, gorduras e óleos, grãos e produtos de moagem, etc.Esta divisão compreende também a fabricação de alimentos dietéticos, alimentos enriquecidos, complementos alimentares e semelhantes.Esta divisão não compreende os estabelecimentos que executam algum processamento no produto alimentício, visando exclusivamente a facilitar a comercialização, como, por exemplo, os açougues e peixarias (Seção G) e as padarias com venda direta ao público (divisão 47). "
"C","INDÚSTRIAS DE TRANSFORMAÇÃO","10","FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS","10.3",". Fabricação de conservas de frutas, legumes e outros vegetais","Esta divisão compreende o processamento e transformação de produtos da agricultura, pecuária e pesca em alimentos para uso humano e animal. Esta divisão está organizada por atividades que processam e transformam diferentes tipos de produtos como carnes, pescados, leite, frutas e legumes, gorduras e óleos, grãos e produtos de moagem, etc.Esta divisão compreende também a fabricação de alimentos dietéticos, alimentos enriquecidos, complementos alimentares e semelhantes.Esta divisão não compreende os estabelecimentos que executam algum processamento no produto alimentício, visando exclusivamente a facilitar a comercialização, como, por exemplo, os açougues e peixarias (Seção G) e as padarias com venda direta ao público (divisão 47). "
"C","INDÚSTRIAS DE TRANSFORMAÇÃO","10","FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS","10.4",". Fabricação de óleos e gorduras vegetais e animais","Esta divisão compreende o processamento e transformação de produtos da agricultura, pecuária e pesca em alimentos para uso humano e animal. Esta divisão está organizada por atividades que processam e transformam diferentes tipos de produtos como carnes, pescados, leite, frutas e legumes, gorduras e óleos, grãos e produtos de moagem, etc.Esta divisão compreende também a fabricação de alimentos dietéticos, alimentos enriquecidos, complementos alimentares e semelhantes.Esta divisão não compreende os estabelecimentos que executam algum processamento no produto alimentício, visando exclusivamente a facilitar a comercialização, como, por exemplo, os açougues e peixarias (Seção G) e as padarias com venda direta ao público (divisão 47). "
"C","INDÚSTRIAS DE TRANSFORMAÇÃO","10","FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS","10.5",". Laticínios","Esta divisão compreende o processamento e transformação de produtos da agricultura, pecuária e pesca em alimentos para uso humano e animal. Esta divisão está organizada por atividades que processam e transformam diferentes tipos de produtos como carnes, pescados, leite, frutas e legumes, gorduras e óleos, grãos e produtos de moagem, etc.Esta divisão compreende também a fabricação de alimentos dietéticos, alimentos enriquecidos, complementos alimentares e semelhantes.Esta divisão não compreende os estabelecimentos que executam algum processamento no produto alimentício, visando exclusivamente a facilitar a comercialização, como, por exemplo, os açougues e peixarias (Seção G) e as padarias com venda direta ao público (divisão 47). "
"C","INDÚSTRIAS DE TRANSFORMAÇÃO","10","FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS","10.6",". Moagem, fabricação de produtos amiláceos e de alimentos para animais","Esta divisão compreende o processamento e transformação de produtos da agricultura, pecuária e pesca em alimentos para uso humano e animal. Esta divisão está organizada por atividades que processam e transformam diferentes tipos de produtos como carnes, pescados, leite, frutas e legumes, gorduras e óleos, grãos e produtos de moagem, etc.Esta divisão compreende também a fabricação de alimentos dietéticos, alimentos enriquecidos, complementos alimentares e semelhantes.Esta divisão não compreende os estabelecimentos que executam algum processamento no produto alimentício, visando exclusivamente a facilitar a comercialização, como, por exemplo, os açougues e peixarias (Seção G) e as padarias com venda direta ao público (divisão 47). "
"C","INDÚSTRIAS DE TRANSFORMAÇÃO","10","FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS","10.7",". Fabricação e refino de açúcar","Esta divisão compreende o processamento e transformação de produtos da agricultura, pecuária e pesca em alimentos para uso humano e animal. Esta divisão está organizada por atividades que processam e transformam diferentes tipos de produtos como carnes, pescados, leite, frutas e legumes, gorduras e óleos, grãos e produtos de moagem, etc.Esta divisão compreende também a fabricação de alimentos dietéticos, alimentos enriquecidos, complementos alimentares e semelhantes.Esta divisão não compreende os estabelecimentos que executam algum processamento no produto alimentício, visando exclusivamente a facilitar a comercialização, como, por exemplo, os açougues e peixarias (Seção G) e as padarias com venda direta ao público (divisão 47). "
"C","INDÚSTRIAS DE TRANSFORMAÇÃO","10","FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS","10.8",". Torrefação e moagem de café","Esta divisão compreende o processamento e transformação de produtos da agricultura, pecuária e pesca em alimentos para uso humano e animal. Esta divisão está organizada por atividades que processam e transformam diferentes tipos de produtos como carnes, pescados, leite, frutas e legumes, gorduras e óleos, grãos e produtos de moagem, etc.Esta divisão compreende também a fabricação de alimentos dietéticos, alimentos enriquecidos, complementos alimentares e semelhantes.Esta divisão não compreende os estabelecimentos que executam algum processamento no produto alimentício, visando exclusivamente a facilitar a comercialização, como, por exemplo, os açougues e peixarias (Seção G) e as padarias com venda direta ao público (divisão 47). "
"C","INDÚSTRIAS DE TRANSFORMAÇÃO","10","FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS","10.9",". Fabricação de outros produtos alimentícios","Esta divisão compreende o processamento e transformação de produtos da agricultura, pecuária e pesca em alimentos para uso humano e animal. Esta divisão está organizada por atividades que processam e transformam diferentes tipos de produtos como carnes, pescados, leite, frutas e legumes, gorduras e óleos, grãos e produtos de moagem, etc.Esta divisão compreende também a fabricação de alimentos dietéticos, alimentos enriquecidos, complementos alimentares e semelhantes.Esta divisão não compreende os estabelecimentos que executam algum processamento no produto alimentício, visando exclusivamente a facilitar a comercialização, como, por exemplo, os açougues e peixarias (Seção G) e as padarias com venda direta ao público (divisão 47). "
